年月日,時刻,ユリウス日,(日のみ),修正ユリウス日,ユリウス世紀数
  -1/08/01,12:00:00, 1720905.00000,       1720905, -679095.50000,-20.0038329911
  -1/09/01,12:00:00, 1720936.00000,       1720936, -679064.50000,-20.0029842574
  -1/10/01,12:00:00, 1720966.00000,       1720966, -679034.50000,-20.0021629021
  -1/11/01,12:00:00, 1720997.00000,       1720997, -679003.50000,-20.0013141684
  -1/12/01,12:00:00, 1721027.00000,       1721027, -678973.50000,-20.0004928131
   0/01/01,12:00:00, 1721058.00000,       1721058, -678942.50000,-19.9996440794
   0/02/01,12:00:00, 1721089.00000,       1721089, -678911.50000,-19.9987953457
   0/03/01,12:00:00, 1721118.00000,       1721118, -678882.50000,-19.9980013689
   0/04/01,12:00:00, 1721149.00000,       1721149, -678851.50000,-19.9971526352
   0/05/01,12:00:00, 1721179.00000,       1721179, -678821.50000,-19.9963312799
   0/06/01,12:00:00, 1721210.00000,       1721210, -678790.50000,-19.9954825462
   0/07/01,12:00:00, 1721240.00000,       1721240, -678760.50000,-19.9946611910
   0/08/01,12:00:00, 1721271.00000,       1721271, -678729.50000,-19.9938124572
   0/09/01,12:00:00, 1721302.00000,       1721302, -678698.50000,-19.9929637235
   0/10/01,12:00:00, 1721332.00000,       1721332, -678668.50000,-19.9921423682
   0/11/01,12:00:00, 1721363.00000,       1721363, -678637.50000,-19.9912936345
   0/12/01,12:00:00, 1721393.00000,       1721393, -678607.50000,-19.9904722793
   1/01/01,12:00:00, 1721424.00000,       1721424, -678576.50000,-19.9896235455
   1/02/01,12:00:00, 1721455.00000,       1721455, -678545.50000,-19.9887748118
   1/03/01,12:00:00, 1721483.00000,       1721483, -678517.50000,-19.9880082136
   1/04/01,12:00:00, 1721514.00000,       1721514, -678486.50000,-19.9871594798
   1/05/01,12:00:00, 1721544.00000,       1721544, -678456.50000,-19.9863381246
   1/06/01,12:00:00, 1721575.00000,       1721575, -678425.50000,-19.9854893908
   1/07/01,12:00:00, 1721605.00000,       1721605, -678395.50000,-19.9846680356
   1/08/01,12:00:00, 1721636.00000,       1721636, -678364.50000,-19.9838193018
   1/09/01,12:00:00, 1721667.00000,       1721667, -678333.50000,-19.9829705681
   1/10/01,12:00:00, 1721697.00000,       1721697, -678303.50000,-19.9821492129
   1/11/01,12:00:00, 1721728.00000,       1721728, -678272.50000,-19.9813004791
   1/12/01,12:00:00, 1721758.00000,       1721758, -678242.50000,-19.9804791239
1582/10/01,12:00:00, 2299157.00000,       2299157, -100843.50000, -4.1721560575
1582/10/02,12:00:00, 2299158.00000,       2299158, -100842.50000, -4.1721286790
1582/10/03,12:00:00, 2299159.00000,       2299159, -100841.50000, -4.1721013005
1582/10/04,12:00:00, 2299160.00000,       2299160, -100840.50000, -4.1720739220
1582/10/15,12:00:00, 2299161.00000,       2299161, -100839.50000, -4.1720465435
1582/10/16,12:00:00, 2299162.00000,       2299162, -100838.50000, -4.1720191650
1582/10/17,12:00:00, 2299163.00000,       2299163, -100837.50000, -4.1719917864
1582/10/18,12:00:00, 2299164.00000,       2299164, -100836.50000, -4.1719644079
1582/10/19,12:00:00, 2299165.00000,       2299165, -100835.50000, -4.1719370294
1582/10/20,12:00:00, 2299166.00000,       2299166, -100834.50000, -4.1719096509
1582/10/21,12:00:00, 2299167.00000,       2299167, -100833.50000, -4.1718822724
1582/10/22,12:00:00, 2299168.00000,       2299168, -100832.50000, -4.1718548939
1582/10/23,12:00:00, 2299169.00000,       2299169, -100831.50000, -4.1718275154
1582/10/24,12:00:00, 2299170.00000,       2299170, -100830.50000, -4.1718001369
1582/10/15,12:00:00, 2299161.00000,       2299161, -100839.50000, -4.1720465435
1582/10/16,12:00:00, 2299162.00000,       2299162, -100838.50000, -4.1720191650
1582/10/17,12:00:00, 2299163.00000,       2299163, -100837.50000, -4.1719917864
1582/10/18,12:00:00, 2299164.00000,       2299164, -100836.50000, -4.1719644079
1582/10/19,12:00:00, 2299165.00000,       2299165, -100835.50000, -4.1719370294
1582/10/20,12:00:00, 2299166.00000,       2299166, -100834.50000, -4.1719096509
1582/10/21,12:00:00, 2299167.00000,       2299167, -100833.50000, -4.1718822724
1582/10/22,12:00:00, 2299168.00000,       2299168, -100832.50000, -4.1718548939
1582/10/23,12:00:00, 2299169.00000,       2299169, -100831.50000, -4.1718275154
1582/10/24,12:00:00, 2299170.00000,       2299170, -100830.50000, -4.1718001369
1582/10/25,12:00:00, 2299171.00000,       2299171, -100829.50000, -4.1717727584
1582/10/26,12:00:00, 2299172.00000,       2299172, -100828.50000, -4.1717453799
1582/10/27,12:00:00, 2299173.00000,       2299173, -100827.50000, -4.1717180014
1582/10/28,12:00:00, 2299174.00000,       2299174, -100826.50000, -4.1716906229
1582/10/29,12:00:00, 2299175.00000,       2299175, -100825.50000, -4.1716632444
1582/10/30,12:00:00, 2299176.00000,       2299176, -100824.50000, -4.1716358658
1582/10/31,12:00:00, 2299177.00000,       2299177, -100823.50000, -4.1716084873
